customer_id,company_name,tier,industry,country,signup_date,subscription_id,plan_type,billing_cycle,mrr,seats_purchased,start_date,end_date,status,churn_reason,license_utilization_rate,feature_adoption_score,weekly_active_days,api_calls_monthly,last_active_days_ago,total_tickets,avg_resolution_time_hrs,escalated_tickets_count,csat_score,churn_label
CUST-10049,Pulse Security 103,Mid-Market,E-Commerce,Australia,2024-01-08,SUB-20049,Growth,Annual,3211.59,96,2024-01-08,,Active,,0.92,60,6,16698,6,6,15.5,0,4.8,0
CUST-10050,Stratum Analytics 103,SMB,Fintech,Germany,2024-01-08,SUB-20050,Starter,Monthly,427.14,7,2024-01-08,,Active,,0.929,53,3,6680,6,8,22.4,0,4.0,0
CUST-10051,Sync Tech 103,SMB,Logistics & Supply Chain,United States,2024-01-08,SUB-20051,Growth,Monthly,613.3,18,2024-01-08,,Active,,0.615,98,6,10213,13,1,22.3,0,4.7,0
CUST-10052,Vanguard Sphere 103,SMB,Fintech,India,2024-01-08,SUB-20052,Starter,Annual,259.04,5,2024-01-08,2024-11-01,Churned,Support / SLA Frustration,0.882,10,5,19995,2,2,102.1,1,1.3,1
CUST-10053,Omni Labs 103,SMB,Fintech,United States,2024-01-08,SUB-20053,Starter,Monthly,644.88,12,2024-01-08,,Active,,0.735,79,1,23724,3,6,9.5,0,4.7,0
CUST-10054,Hyper Flow 103,SMB,Healthcare,United Kingdom,2024-01-09,SUB-20054,Growth,Monthly,614.47,24,2024-01-09,2024-10-24,Churned,Competitor Alternative,0.659,87,6,42056,16,7,17.2,0,4.4,1
CUST-10055,Zenith Corp 103,SMB,SaaS / Tech,United States,2024-01-09,SUB-20055,Starter,Monthly,511.75,21,2024-01-09,,Active,,0.787,88,1,3095,20,1,4.5,0,4.3,0
CUST-10056,Quantum Stack 103,Enterprise,Healthcare,United States,2024-01-09,SUB-20056,Enterprise Plus,Annual,7579.01,128,2024-01-09,,Active,,0.649,10,1,19258,0,7,3.4,0,4.4,0
CUST-10057,Nexus AI 103,Mid-Market,Healthcare,Canada,2024-01-09,SUB-20057,Growth,Monthly,3040.32,49,2024-01-09,2024-02-15,Churned,Support / SLA Frustration,0.58,67,4,66058,7,5,87.7,3,1.2,1
CUST-10058,Vertex Scale 103,Enterprise,E-Commerce,United Kingdom,2024-01-09,SUB-20058,Enterprise Plus,Annual,8302.08,105,2024-01-09,,Active,,0.489,53,4,30343,2,4,12.2,0,4.2,0
CUST-10059,Blue Systems 103,Mid-Market,Healthcare,United States,2024-01-09,SUB-20059,Growth,Monthly,3326.03,47,2024-01-09,,Active,,0.695,82,3,28928,3,3,56.8,0,2.9,0
CUST-10060,Apex Logic 104,Mid-Market,Cybersecurity,United States,2024-01-10,SUB-20060,Growth,Monthly,3619.44,83,2024-01-10,2025-01-01,Churned,Leadership Transition,0.735,75,3,9580,21,1,23.0,0,3.9,1
CUST-10061,Cloud Hub 104,Mid-Market,Cybersecurity,United States,2024-01-10,SUB-20061,Scale,Annual,2424.67,42,2024-01-10,,Active,,0.631,98,4,20657,0,1,5.3,0,4.5,0
CUST-10062,Data Pay 104,SMB,E-Commerce,United Kingdom,2024-01-10,SUB-20062,Growth,Monthly,645.23,12,2024-01-10,,Active,,1.0,68,3,8498,5,4,21.2,0,4.9,0
CUST-10063,Nova Works 104,Mid-Market,Healthcare,United States,2024-01-10,SUB-20063,Scale,Annual,2176.38,71,2024-01-10,,Active,,0.556,77,3,14233,2,6,14.9,0,4.2,0
CUST-10064,Pulse Security 104,Mid-Market,SaaS / Tech,United States,2024-01-10,SUB-20064,Growth,Monthly,2563.46,63,2024-01-10,2024-06-28,Churned,Internal Restructuring,0.706,95,5,11981,11,4,18.6,0,4.1,1
CUST-10065,Stratum Analytics 104,SMB,Fintech,United Kingdom,2024-01-10,SUB-20065,Growth,Monthly,449.02,23,2024-01-10,,Active,,0.635,38,4,24221,2,3,5.7,0,4.7,0
CUST-10066,Sync Tech 104,Enterprise,E-Commerce,Canada,2024-01-11,SUB-20066,Scale,Annual,12556.64,241,2024-01-11,,Active,,0.877,50,4,8372,6,3,6.7,0,5.0,0
CUST-10067,Vanguard Sphere 104,SMB,Healthcare,Canada,2024-01-11,SUB-20067,Starter,Monthly,374.98,21,2024-01-11,2024-05-03,Churned,Support / SLA Frustration,0.73,79,2,55055,0,1,104.6,1,2.3,1
CUST-10068,Omni Labs 104,Enterprise,Cybersecurity,United Kingdom,2024-01-11,SUB-20068,Enterprise Plus,Monthly,15122.87,209,2024-01-11,2024-12-21,Churned,Support / SLA Frustration,0.871,89,3,24292,2,6,86.4,3,2.5,1
CUST-10069,Hyper Flow 104,SMB,Fintech,India,2024-01-11,SUB-20069,Starter,Monthly,651.25,5,2024-01-11,,Active,,0.968,96,5,60611,1,9,20.6,0,4.4,0
CUST-10070,Zenith Corp 104,SMB,E-Commerce,India,2024-01-11,SUB-20070,Starter,Monthly,523.13,9,2024-01-11,,Active,,0.567,100,3,31359,3,4,21.1,0,4.7,0
CUST-10071,Quantum Stack 104,Mid-Market,SaaS / Tech,Germany,2024-01-12,SUB-20071,Growth,Monthly,3491.9,44,2024-01-12,2024-05-31,Churned,Support / SLA Frustration,0.99,100,5,3887,5,4,81.7,1,2.9,1
CUST-10072,Nexus AI 104,Enterprise,E-Commerce,United Kingdom,2024-01-12,SUB-20072,Enterprise Plus,Annual,14908.6,425,2024-01-12,,Active,,0.463,73,6,922,0,4,16.9,0,5.0,0
CUST-10073,Vertex Scale 104,SMB,Fintech,United States,2024-01-12,SUB-20073,Starter,Monthly,325.35,8,2024-01-12,,Active,,0.579,100,3,47305,11,4,11.9,0,4.4,0
CUST-10074,Blue Systems 104,SMB,Cybersecurity,Australia,2024-01-12,SUB-20074,Growth,Monthly,658.39,6,2024-01-12,,Active,,0.678,27,3,73375,3,4,5.9,0,4.8,0
CUST-10075,Apex Logic 105,SMB,E-Commerce,United States,2024-01-12,SUB-20075,Growth,Monthly,532.56,5,2024-01-12,,Active,,0.744,83,4,3647,0,8,14.9,0,4.5,0
CUST-10076,Cloud Hub 105,SMB,E-Commerce,United States,2024-01-12,SUB-20076,Starter,Monthly,352.31,9,2024-01-12,,Active,,0.488,98,2,34139,1,8,13.9,0,4.9,0
CUST-10077,Data Pay 105,Enterprise,Fintech,United States,2024-01-12,SUB-20077,Enterprise Plus,Annual,8867.89,200,2024-01-12,,Active,,0.569,94,4,62242,7,3,10.2,0,3.8,0
CUST-10078,Nova Works 105,Mid-Market,E-Commerce,United States,2024-01-13,SUB-20078,Growth,Monthly,1941.9,25,2024-01-13,,Active,,1.0,32,5,55359,16,0,4.0,0,4.9,0
CUST-10079,Pulse Security 105,Enterprise,Healthcare,Australia,2024-01-13,SUB-20079,Enterprise Plus,Annual,6235.67,493,2024-01-13,,Active,,0.783,60,5,34922,10,3,22.2,0,4.6,0
CUST-10080,Stratum Analytics 105,SMB,Fintech,United Kingdom,2024-01-13,SUB-20080,Starter,Monthly,360.8,22,2024-01-13,,Active,,1.0,70,4,16523,19,7,22.4,0,4.9,0
CUST-10081,Sync Tech 105,SMB,Fintech,United Kingdom,2024-01-13,SUB-20081,Starter,Monthly,197.12,20,2024-01-13,,Active,,0.66,68,4,1967,3,5,60.2,1,3.2,0
CUST-10082,Vanguard Sphere 105,Mid-Market,Logistics & Supply Chain,United Kingdom,2024-01-13,SUB-20082,Growth,Monthly,1533.56,73,2024-01-13,,Active,,0.792,62,5,45488,22,11,11.2,0,4.7,0
CUST-10083,Omni Labs 105,Enterprise,Fintech,United States,2024-01-13,SUB-20083,Enterprise Plus,Annual,15318.19,239,2024-01-13,,Active,,0.724,60,7,73756,3,6,19.6,0,4.0,0
CUST-10084,Hyper Flow 105,Mid-Market,Fintech,United States,2024-01-13,SUB-20084,Scale,Annual,2498.38,97,2024-01-13,,Active,,0.546,27,3,57649,0,4,10.7,0,4.5,0
CUST-10085,Zenith Corp 105,Mid-Market,E-Commerce,United Kingdom,2024-01-13,SUB-20085,Scale,Annual,2180.06,29,2024-01-13,,Active,,0.23,63,6,12310,3,3,17.8,0,4.0,0
CUST-10086,Quantum Stack 105,SMB,SaaS / Tech,Canada,2024-01-13,SUB-20086,Growth,Monthly,362.61,7,2024-01-13,,Active,,1.0,58,4,45204,7,5,20.5,0,3.9,0
CUST-10087,Nexus AI 105,SMB,Fintech,United States,2024-01-13,SUB-20087,Growth,Monthly,298.24,12,2024-01-13,2024-03-25,Churned,Support / SLA Frustration,0.873,86,1,27976,0,3,87.5,1,2.5,1
CUST-10088,Vertex Scale 105,SMB,E-Commerce,Canada,2024-01-13,SUB-20088,Starter,Monthly,705.88,22,2024-01-13,,Active,,0.389,91,3,13339,1,4,9.1,0,4.3,0
CUST-10089,Blue Systems 105,Mid-Market,Fintech,United States,2024-01-14,SUB-20089,Growth,Monthly,2127.01,43,2024-01-14,,Active,,0.552,61,3,23848,0,4,22.9,0,4.6,0
CUST-10090,Apex Logic 106,Enterprise,Fintech,United States,2024-01-14,SUB-20090,Enterprise Plus,Annual,8870.28,495,2024-01-14,,Active,,0.522,55,1,10317,10,4,114.4,1,2.3,0
CUST-10091,Cloud Hub 106,SMB,Fintech,United States,2024-01-14,SUB-20091,Starter,Monthly,709.56,15,2024-01-14,,Active,,1.0,50,4,9266,21,5,95.0,1,1.4,0
CUST-10092,Data Pay 106,SMB,Logistics & Supply Chain,United States,2024-01-14,SUB-20092,Starter,Monthly,190.29,13,2024-01-14,2024-07-12,Churned,Support / SLA Frustration,0.696,42,0,19341,1,2,71.8,0,1.3,1
CUST-10093,Nova Works 106,SMB,Fintech,Germany,2024-01-14,SUB-20093,Growth,Monthly,392.11,16,2024-01-14,2024-03-26,Churned,Switched Tool,0.584,71,2,67927,0,5,11.1,0,4.9,1
CUST-10094,Pulse Security 106,SMB,Fintech,Germany,2024-01-14,SUB-20094,Starter,Monthly,314.26,21,2024-01-14,,Active,,0.582,100,5,15742,5,5,12.6,0,4.3,0
CUST-10095,Stratum Analytics 106,Mid-Market,Healthcare,United States,2024-01-14,SUB-20095,Growth,Annual,1755.87,52,2024-01-14,,Active,,0.601,51,4,23090,3,6,4.2,0,4.6,0
CUST-10096,Sync Tech 106,SMB,Logistics & Supply Chain,United Kingdom,2024-01-15,SUB-20096,Starter,Annual,699.81,16,2024-01-15,,Active,,0.74,52,5,5194,3,4,117.2,2,1.3,0
CUST-10097,Vanguard Sphere 106,Mid-Market,Healthcare,Canada,2024-01-15,SUB-20097,Scale,Annual,1893.57,26,2024-01-15,,Active,,0.732,39,7,24714,3,1,7.0,0,4.1,0
CUST-10098,Omni Labs 106,Enterprise,Healthcare,United States,2024-01-15,SUB-20098,Scale,Monthly,4994.23,274,2024-01-15,,Active,,0.514,83,5,1767,1,3,23.1,0,4.6,0
CUST-10099,Hyper Flow 106,Enterprise,Fintech,United States,2024-01-15,SUB-20099,Scale,Annual,15824.5,349,2024-01-15,,Active,,0.846,82,1,41995,0,7,6.8,0,3.9,0
CUST-10100,Zenith Corp 106,Enterprise,Healthcare,Australia,2024-01-15,SUB-20100,Enterprise Plus,Annual,17249.37,383,2024-01-15,,Active,,0.551,40,4,16752,2,1,17.2,0,4.4,0
CUST-10101,Quantum Stack 106,SMB,E-Commerce,United Kingdom,2024-01-15,SUB-20101,Starter,Monthly,698.77,16,2024-01-15,,Active,,0.409,23,4,11009,1,4,14.1,0,4.0,0
CUST-10102,Nexus AI 106,Mid-Market,E-Commerce,Australia,2024-01-15,SUB-20102,Scale,Annual,1548.71,79,2024-01-15,2024-07-29,Churned,Support / SLA Frustration,0.198,100,2,14137,2,5,118.6,0,2.9,1
CUST-10103,Vertex Scale 106,SMB,Healthcare,United States,2024-01-15,SUB-20103,Starter,Monthly,513.13,9,2024-01-15,2024-08-30,Churned,Switched Tool,0.62,100,4,16815,0,5,3.3,0,4.6,1
CUST-10104,Blue Systems 106,SMB,Healthcare,Canada,2024-01-16,SUB-20104,Growth,Monthly,681.39,11,2024-01-16,,Active,,0.577,66,5,2858,17,2,15.3,0,4.1,0
CUST-10105,Apex Logic 107,Mid-Market,Fintech,United States,2024-01-16,SUB-20105,Growth,Monthly,2625.84,66,2024-01-16,2024-05-01,Churned,Leadership Transition,0.627,72,4,50314,0,4,2.9,0,4.8,1
CUST-10106,Cloud Hub 107,Mid-Market,Healthcare,United States,2024-01-16,SUB-20106,Scale,Annual,2393.32,28,2024-01-16,,Active,,0.628,53,3,7500,6,2,20.5,0,5.0,0
CUST-10107,Data Pay 107,SMB,Fintech,United Kingdom,2024-01-16,SUB-20107,Starter,Annual,695.34,13,2024-01-16,,Active,,0.854,62,3,9254,11,5,3.4,0,4.6,0
CUST-10108,Nova Works 107,Mid-Market,SaaS / Tech,United States,2024-01-16,SUB-20108,Growth,Monthly,2666.81,70,2024-01-16,,Active,,1.0,72,6,77820,4,6,64.9,1,1.3,0
CUST-10109,Pulse Security 107,Enterprise,Cybersecurity,United States,2024-01-16,SUB-20109,Scale,Annual,6738.7,121,2024-01-16,,Active,,0.477,47,4,12868,11,1,8.1,0,4.3,0
CUST-10110,Stratum Analytics 107,Mid-Market,Cybersecurity,United States,2024-01-16,SUB-20110,Growth,Annual,1718.7,75,2024-01-16,,Active,,0.513,100,2,6631,2,4,23.8,0,4.1,0
CUST-10111,Sync Tech 107,Mid-Market,Logistics & Supply Chain,United States,2024-01-16,SUB-20111,Growth,Monthly,1164.28,36,2024-01-16,,Active,,0.734,82,4,11954,4,6,7.5,0,4.1,0
CUST-10112,Vanguard Sphere 107,SMB,E-Commerce,Canada,2024-01-16,SUB-20112,Starter,Monthly,661.53,24,2024-01-16,,Active,,0.811,53,1,74024,13,4,7.1,0,4.5,0
CUST-10113,Omni Labs 107,SMB,SaaS / Tech,United States,2024-01-17,SUB-20113,Starter,Monthly,513.76,17,2024-01-17,2024-12-30,Churned,Competitor Alternative,1.0,80,4,21297,10,1,13.6,0,4.2,1
CUST-10114,Hyper Flow 107,SMB,Healthcare,United States,2024-01-17,SUB-20114,Starter,Monthly,363.22,13,2024-01-17,,Active,,0.524,64,3,10792,2,5,17.6,0,5.0,0
CUST-10115,Zenith Corp 107,SMB,E-Commerce,United States,2024-01-17,SUB-20115,Starter,Annual,346.48,6,2024-01-17,2024-04-02,Churned,Support / SLA Frustration,0.59,85,5,5348,2,4,76.4,2,2.5,1
CUST-10116,Quantum Stack 107,SMB,E-Commerce,United States,2024-01-17,SUB-20116,Growth,Annual,282.87,22,2024-01-17,,Active,,0.611,34,4,68020,15,4,11.0,0,5.0,0
CUST-10117,Nexus AI 107,Mid-Market,E-Commerce,United Kingdom,2024-01-17,SUB-20117,Growth,Annual,2014.27,33,2024-01-17,2024-06-26,Churned,Low Adoption & License Waste,0.908,100,2,7044,27,4,15.3,0,4.8,1
CUST-10118,Vertex Scale 107,SMB,SaaS / Tech,United States,2024-01-17,SUB-20118,Starter,Annual,396.08,21,2024-01-17,,Active,,0.899,53,2,3241,4,1,23.6,0,4.0,0
CUST-10119,Blue Systems 107,SMB,Healthcare,Canada,2024-01-18,SUB-20119,Starter,Monthly,246.37,11,2024-01-18,,Active,,0.452,55,3,6926,1,5,23.2,0,4.2,0
CUST-10120,Apex Logic 108,SMB,Healthcare,United States,2024-01-18,SUB-20120,Growth,Annual,660.5,14,2024-01-18,2025-01-02,Churned,Low Adoption & License Waste,0.166,69,4,39249,5,4,21.1,0,3.9,1
CUST-10121,Cloud Hub 108,SMB,Cybersecurity,United States,2024-01-18,SUB-20121,Growth,Monthly,333.47,20,2024-01-18,2024-06-03,Churned,Support / SLA Frustration,0.525,68,6,18932,4,2,106.8,0,1.4,1
CUST-10122,Data Pay 108,Mid-Market,Fintech,India,2024-01-18,SUB-20122,Scale,Annual,3721.33,31,2024-01-18,,Active,,0.439,44,3,22716,7,1,5.9,0,4.2,0
CUST-10123,Nova Works 108,Enterprise,E-Commerce,Canada,2024-01-18,SUB-20123,Scale,Annual,14257.0,484,2024-01-18,,Active,,0.728,43,3,6500,0,3,15.3,0,3.8,0
CUST-10124,Pulse Security 108,Mid-Market,Cybersecurity,United States,2024-01-18,SUB-20124,Growth,Annual,2648.4,46,2024-01-18,,Active,,0.691,38,4,13245,2,1,5.6,0,4.3,0
CUST-10125,Stratum Analytics 108,Mid-Market,E-Commerce,Germany,2024-01-19,SUB-20125,Growth,Annual,1087.09,61,2024-01-19,2024-12-23,Churned,Leadership Transition,0.439,76,5,110841,1,3,4.5,0,4.2,1
CUST-10126,Sync Tech 108,SMB,E-Commerce,United States,2024-01-19,SUB-20126,Starter,Monthly,526.77,8,2024-01-19,2024-12-22,Churned,Support / SLA Frustration,0.721,87,5,71956,7,4,103.1,1,2.7,1
CUST-10127,Vanguard Sphere 108,SMB,Fintech,Germany,2024-01-19,SUB-20127,Starter,Monthly,232.74,18,2024-01-19,,Active,,0.745,65,1,24366,10,5,19.1,0,4.4,0
CUST-10128,Omni Labs 108,Enterprise,Healthcare,United Kingdom,2024-01-19,SUB-20128,Enterprise Plus,Annual,12690.2,263,2024-01-19,,Active,,0.432,96,3,65013,0,4,110.4,3,2.9,0
