subscription_id,customer_id,plan_type,billing_cycle,mrr,seats_purchased,start_date,end_date,status,churn_reason
SUB-20070,CUST-10070,Starter,Monthly,523.13,9,2024-01-11,,Active,
SUB-20071,CUST-10071,Growth,Monthly,3491.9,44,2024-01-12,2024-05-31,Churned,Support / SLA Frustration
SUB-20072,CUST-10072,Enterprise Plus,Annual,14908.6,425,2024-01-12,,Active,
SUB-20073,CUST-10073,Starter,Monthly,325.35,8,2024-01-12,,Active,
SUB-20074,CUST-10074,Growth,Monthly,658.39,6,2024-01-12,,Active,
SUB-20075,CUST-10075,Growth,Monthly,532.56,5,2024-01-12,,Active,
SUB-20076,CUST-10076,Starter,Monthly,352.31,9,2024-01-12,,Active,
SUB-20077,CUST-10077,Enterprise Plus,Annual,8867.89,200,2024-01-12,,Active,
SUB-20078,CUST-10078,Growth,Monthly,1941.9,25,2024-01-13,,Active,
SUB-20079,CUST-10079,Enterprise Plus,Annual,6235.67,493,2024-01-13,,Active,
SUB-20080,CUST-10080,Starter,Monthly,360.8,22,2024-01-13,,Active,
SUB-20081,CUST-10081,Starter,Monthly,197.12,20,2024-01-13,,Active,
SUB-20082,CUST-10082,Growth,Monthly,1533.56,73,2024-01-13,,Active,
SUB-20083,CUST-10083,Enterprise Plus,Annual,15318.19,239,2024-01-13,,Active,
SUB-20084,CUST-10084,Scale,Annual,2498.38,97,2024-01-13,,Active,
SUB-20085,CUST-10085,Scale,Annual,2180.06,29,2024-01-13,,Active,
SUB-20086,CUST-10086,Growth,Monthly,362.61,7,2024-01-13,,Active,
SUB-20087,CUST-10087,Growth,Monthly,298.24,12,2024-01-13,2024-03-25,Churned,Support / SLA Frustration
SUB-20088,CUST-10088,Starter,Monthly,705.88,22,2024-01-13,,Active,
SUB-20089,CUST-10089,Growth,Monthly,2127.01,43,2024-01-14,,Active,
SUB-20090,CUST-10090,Enterprise Plus,Annual,8870.28,495,2024-01-14,,Active,
SUB-20091,CUST-10091,Starter,Monthly,709.56,15,2024-01-14,,Active,
SUB-20092,CUST-10092,Starter,Monthly,190.29,13,2024-01-14,2024-07-12,Churned,Support / SLA Frustration
SUB-20093,CUST-10093,Growth,Monthly,392.11,16,2024-01-14,2024-03-26,Churned,Switched Tool
SUB-20094,CUST-10094,Starter,Monthly,314.26,21,2024-01-14,,Active,
SUB-20095,CUST-10095,Growth,Annual,1755.87,52,2024-01-14,,Active,
SUB-20096,CUST-10096,Starter,Annual,699.81,16,2024-01-15,,Active,
SUB-20097,CUST-10097,Scale,Annual,1893.57,26,2024-01-15,,Active,
SUB-20098,CUST-10098,Scale,Monthly,4994.23,274,2024-01-15,,Active,
SUB-20099,CUST-10099,Scale,Annual,15824.5,349,2024-01-15,,Active,
SUB-20100,CUST-10100,Enterprise Plus,Annual,17249.37,383,2024-01-15,,Active,
SUB-20101,CUST-10101,Starter,Monthly,698.77,16,2024-01-15,,Active,
SUB-20102,CUST-10102,Scale,Annual,1548.71,79,2024-01-15,2024-07-29,Churned,Support / SLA Frustration
SUB-20103,CUST-10103,Starter,Monthly,513.13,9,2024-01-15,2024-08-30,Churned,Switched Tool
SUB-20104,CUST-10104,Growth,Monthly,681.39,11,2024-01-16,,Active,
SUB-20105,CUST-10105,Growth,Monthly,2625.84,66,2024-01-16,2024-05-01,Churned,Leadership Transition
SUB-20106,CUST-10106,Scale,Annual,2393.32,28,2024-01-16,,Active,
SUB-20107,CUST-10107,Starter,Annual,695.34,13,2024-01-16,,Active,
SUB-20108,CUST-10108,Growth,Monthly,2666.81,70,2024-01-16,,Active,
SUB-20109,CUST-10109,Scale,Annual,6738.7,121,2024-01-16,,Active,
SUB-20110,CUST-10110,Growth,Annual,1718.7,75,2024-01-16,,Active,
SUB-20111,CUST-10111,Growth,Monthly,1164.28,36,2024-01-16,,Active,
SUB-20112,CUST-10112,Starter,Monthly,661.53,24,2024-01-16,,Active,
SUB-20113,CUST-10113,Starter,Monthly,513.76,17,2024-01-17,2024-12-30,Churned,Competitor Alternative
SUB-20114,CUST-10114,Starter,Monthly,363.22,13,2024-01-17,,Active,
SUB-20115,CUST-10115,Starter,Annual,346.48,6,2024-01-17,2024-04-02,Churned,Support / SLA Frustration
SUB-20116,CUST-10116,Growth,Annual,282.87,22,2024-01-17,,Active,
SUB-20117,CUST-10117,Growth,Annual,2014.27,33,2024-01-17,2024-06-26,Churned,Low Adoption & License Waste
SUB-20118,CUST-10118,Starter,Annual,396.08,21,2024-01-17,,Active,
SUB-20119,CUST-10119,Starter,Monthly,246.37,11,2024-01-18,,Active,
SUB-20120,CUST-10120,Growth,Annual,660.5,14,2024-01-18,2025-01-02,Churned,Low Adoption & License Waste
SUB-20121,CUST-10121,Growth,Monthly,333.47,20,2024-01-18,2024-06-03,Churned,Support / SLA Frustration
SUB-20122,CUST-10122,Scale,Annual,3721.33,31,2024-01-18,,Active,
SUB-20123,CUST-10123,Scale,Annual,14257.0,484,2024-01-18,,Active,
SUB-20124,CUST-10124,Growth,Annual,2648.4,46,2024-01-18,,Active,
SUB-20125,CUST-10125,Growth,Annual,1087.09,61,2024-01-19,2024-12-23,Churned,Leadership Transition
SUB-20126,CUST-10126,Starter,Monthly,526.77,8,2024-01-19,2024-12-22,Churned,Support / SLA Frustration
SUB-20127,CUST-10127,Starter,Monthly,232.74,18,2024-01-19,,Active,
SUB-20128,CUST-10128,Enterprise Plus,Annual,12690.2,263,2024-01-19,,Active,
SUB-20129,CUST-10129,Starter,Monthly,730.47,14,2024-01-19,,Active,
SUB-20130,CUST-10130,Growth,Monthly,1284.12,82,2024-01-19,,Active,
SUB-20131,CUST-10131,Scale,Annual,3732.9,98,2024-01-19,,Active,
SUB-20132,CUST-10132,Enterprise Plus,Annual,7822.0,332,2024-01-19,,Active,
SUB-20133,CUST-10133,Growth,Annual,2128.66,74,2024-01-19,2024-07-10,Churned,Support / SLA Frustration
SUB-20134,CUST-10134,Starter,Monthly,131.21,19,2024-01-20,,Active,
SUB-20135,CUST-10135,Scale,Annual,3697.74,26,2024-01-20,,Active,
SUB-20136,CUST-10136,Starter,Monthly,616.37,5,2024-01-20,,Active,
SUB-20137,CUST-10137,Growth,Monthly,473.68,14,2024-01-20,,Active,
SUB-20138,CUST-10138,Growth,Monthly,2087.2,82,2024-01-20,2024-09-29,Churned,Support / SLA Frustration
SUB-20139,CUST-10139,Starter,Monthly,183.89,7,2024-01-21,2024-11-26,Churned,Low Adoption & License Waste
SUB-20140,CUST-10140,Starter,Annual,461.04,20,2024-01-21,,Active,
SUB-20141,CUST-10141,Scale,Monthly,2873.81,50,2024-01-21,,Active,
SUB-20142,CUST-10142,Growth,Annual,2965.12,37,2024-01-21,,Active,
SUB-20143,CUST-10143,Growth,Monthly,3632.91,70,2024-01-21,,Active,
SUB-20144,CUST-10144,Scale,Monthly,2342.57,78,2024-01-21,,Active,
SUB-20145,CUST-10145,Enterprise Plus,Annual,9037.76,189,2024-01-21,,Active,
SUB-20146,CUST-10146,Starter,Monthly,337.48,12,2024-01-21,,Active,
SUB-20147,CUST-10147,Growth,Monthly,457.33,22,2024-01-22,2024-12-01,Churned,Support / SLA Frustration
SUB-20148,CUST-10148,Enterprise Plus,Annual,5656.2,171,2024-01-22,,Active,
SUB-20149,CUST-10149,Growth,Annual,3700.63,97,2024-01-22,,Active,
SUB-20150,CUST-10150,Growth,Monthly,727.34,18,2024-01-22,,Active,
SUB-20151,CUST-10151,Growth,Monthly,947.92,35,2024-01-23,,Active,
SUB-20152,CUST-10152,Enterprise Plus,Annual,9416.63,300,2024-01-23,,Active,
SUB-20153,CUST-10153,Scale,Monthly,2054.63,34,2024-01-23,2024-08-22,Churned,Leadership Transition
SUB-20154,CUST-10154,Starter,Monthly,395.54,14,2024-01-23,,Active,
SUB-20155,CUST-10155,Growth,Monthly,2651.39,77,2024-01-23,,Active,
SUB-20156,CUST-10156,Starter,Annual,706.51,23,2024-01-23,,Active,
SUB-20157,CUST-10157,Growth,Monthly,633.6,18,2024-01-23,2024-09-20,Churned,Support / SLA Frustration
SUB-20158,CUST-10158,Scale,Monthly,1289.67,54,2024-01-23,2024-12-12,Churned,Support / SLA Frustration
SUB-20159,CUST-10159,Growth,Monthly,666.73,6,2024-01-24,,Active,
SUB-20160,CUST-10160,Growth,Annual,1049.65,33,2024-01-24,,Active,
SUB-20161,CUST-10161,Starter,Monthly,159.94,10,2024-01-24,,Active,
SUB-20162,CUST-10162,Starter,Monthly,510.79,17,2024-01-24,2024-07-12,Churned,Support / SLA Frustration
SUB-20163,CUST-10163,Starter,Annual,573.8,21,2024-01-24,2024-05-15,Churned,Support / SLA Frustration
SUB-20164,CUST-10164,Scale,Annual,7857.66,167,2024-01-24,,Active,
SUB-20165,CUST-10165,Growth,Monthly,256.2,11,2024-01-24,2024-10-10,Churned,Support / SLA Frustration
SUB-20166,CUST-10166,Scale,Monthly,3451.85,59,2024-01-24,,Active,
SUB-20167,CUST-10167,Scale,Annual,1125.36,55,2024-01-24,2024-03-31,Churned,Low Adoption & License Waste
SUB-20168,CUST-10168,Enterprise Plus,Annual,15947.33,160,2024-01-24,2024-12-26,Churned,Support / SLA Frustration
SUB-20169,CUST-10169,Starter,Annual,375.04,5,2024-01-24,,Active,
SUB-20170,CUST-10170,Starter,Monthly,421.24,15,2024-01-24,,Active,
SUB-20171,CUST-10171,Scale,Annual,11371.56,226,2024-01-25,2024-08-11,Churned,Support / SLA Frustration
SUB-20172,CUST-10172,Growth,Monthly,329.33,23,2024-01-25,2024-09-29,Churned,Support / SLA Frustration
SUB-20173,CUST-10173,Scale,Monthly,2907.48,53,2024-01-26,,Active,
SUB-20174,CUST-10174,Starter,Monthly,737.91,17,2024-01-26,,Active,
SUB-20175,CUST-10175,Scale,Annual,2080.17,92,2024-01-26,,Active,
SUB-20176,CUST-10176,Growth,Monthly,608.1,13,2024-01-26,,Active,
SUB-20177,CUST-10177,Growth,Monthly,2499.78,44,2024-01-26,2024-06-20,Churned,Low Adoption & License Waste
SUB-20178,CUST-10178,Starter,Monthly,180.93,19,2024-01-26,2024-07-15,Churned,Support / SLA Frustration
SUB-20179,CUST-10179,Scale,Annual,15362.4,287,2024-01-26,,Active,
SUB-20180,CUST-10180,Scale,Annual,3677.15,40,2024-01-26,,Active,
SUB-20181,CUST-10181,Scale,Monthly,14654.74,192,2024-01-26,,Active,
SUB-20182,CUST-10182,Growth,Monthly,719.17,15,2024-01-27,,Active,
SUB-20183,CUST-10183,Starter,Monthly,330.97,15,2024-01-27,,Active,
SUB-20184,CUST-10184,Growth,Annual,1655.26,40,2024-01-27,,Active,
SUB-20185,CUST-10185,Growth,Monthly,601.12,24,2024-01-27,2024-09-03,Churned,Competitor Alternative
SUB-20186,CUST-10186,Starter,Monthly,316.41,8,2024-01-28,,Active,
SUB-20187,CUST-10187,Starter,Monthly,684.08,16,2024-01-28,,Active,
SUB-20188,CUST-10188,Starter,Monthly,438.67,8,2024-01-28,,Active,
SUB-20189,CUST-10189,Growth,Monthly,3343.61,69,2024-01-28,,Active,
SUB-20190,CUST-10190,Enterprise Plus,Annual,10840.26,400,2024-01-28,2024-09-25,Churned,Support / SLA Frustration
SUB-20191,CUST-10191,Starter,Annual,706.77,21,2024-01-29,,Active,
SUB-20192,CUST-10192,Starter,Annual,211.29,7,2024-01-29,,Active,
SUB-20193,CUST-10193,Starter,Annual,650.86,24,2024-01-29,,Active,
SUB-20194,CUST-10194,Growth,Annual,2963.83,95,2024-01-29,,Active,
SUB-20195,CUST-10195,Scale,Annual,1390.31,81,2024-01-29,2024-08-08,Churned,Support / SLA Frustration
SUB-20196,CUST-10196,Starter,Annual,436.3,20,2024-01-30,,Active,
SUB-20197,CUST-10197,Starter,Monthly,153.37,20,2024-01-30,,Active,
SUB-20198,CUST-10198,Starter,Monthly,574.19,20,2024-01-30,,Active,
SUB-20199,CUST-10199,Growth,Monthly,552.19,17,2024-01-30,2024-04-30,Churned,Price / Budget Cuts
SUB-20200,CUST-10200,Starter,Monthly,122.0,10,2024-01-30,,Active,
SUB-20201,CUST-10201,Enterprise Plus,Annual,16756.2,359,2024-01-31,,Active,
SUB-20202,CUST-10202,Growth,Monthly,2207.57,66,2024-01-31,,Active,
SUB-20203,CUST-10203,Starter,Monthly,207.44,18,2024-01-31,,Active,
SUB-20204,CUST-10204,Starter,Monthly,414.73,9,2024-01-31,,Active,
SUB-20205,CUST-10205,Enterprise Plus,Annual,16183.13,304,2024-02-01,,Active,
SUB-20206,CUST-10206,Enterprise Plus,Annual,17550.42,212,2024-02-01,2024-11-14,Churned,Support / SLA Frustration
SUB-20207,CUST-10207,Starter,Monthly,675.09,15,2024-02-01,,Active,
SUB-20208,CUST-10208,Enterprise Plus,Annual,7317.46,262,2024-02-01,2024-03-15,Churned,Support / SLA Frustration
SUB-20209,CUST-10209,Growth,Annual,3105.32,68,2024-02-01,2024-05-30,Churned,Low Adoption & License Waste
SUB-20210,CUST-10210,Starter,Monthly,306.98,24,2024-02-01,2024-11-23,Churned,Support / SLA Frustration
SUB-20211,CUST-10211,Growth,Monthly,631.01,9,2024-02-01,,Active,
SUB-20212,CUST-10212,Starter,Annual,283.6,17,2024-02-01,,Active,
SUB-20213,CUST-10213,Growth,Monthly,3564.15,53,2024-02-01,2024-03-06,Churned,Low Adoption & License Waste
SUB-20214,CUST-10214,Starter,Monthly,675.79,18,2024-02-02,2024-08-10,Churned,Price / Budget Cuts
SUB-20215,CUST-10215,Growth,Annual,2144.0,96,2024-02-02,2024-07-02,Churned,Low Adoption & License Waste
SUB-20216,CUST-10216,Growth,Annual,3453.79,92,2024-02-02,2024-11-28,Churned,Leadership Transition
SUB-20217,CUST-10217,Growth,Monthly,535.64,16,2024-02-02,,Active,
SUB-20218,CUST-10218,Starter,Monthly,128.58,11,2024-02-02,,Active,
SUB-20219,CUST-10219,Growth,Monthly,712.09,10,2024-02-02,,Active,
SUB-20220,CUST-10220,Starter,Monthly,599.82,15,2024-02-02,,Active,
SUB-20221,CUST-10221,Growth,Annual,700.98,8,2024-02-02,2024-07-23,Churned,Support / SLA Frustration
SUB-20222,CUST-10222,Enterprise Plus,Annual,15742.22,368,2024-02-02,,Active,
SUB-20223,CUST-10223,Growth,Monthly,1612.0,43,2024-02-02,,Active,
SUB-20224,CUST-10224,Scale,Annual,1543.9,62,2024-02-02,,Active,
SUB-20225,CUST-10225,Scale,Annual,2488.24,78,2024-02-02,2024-10-20,Churned,Low Adoption & License Waste
SUB-20226,CUST-10226,Growth,Monthly,614.32,18,2024-02-03,2024-05-18,Churned,Low Adoption & License Waste
SUB-20227,CUST-10227,Growth,Annual,2958.24,99,2024-02-03,,Active,
SUB-20228,CUST-10228,Growth,Annual,432.64,17,2024-02-03,2024-12-22,Churned,Support / SLA Frustration
SUB-20229,CUST-10229,Starter,Monthly,471.61,9,2024-02-03,,Active,
SUB-20230,CUST-10230,Growth,Monthly,269.21,11,2024-02-03,2024-03-24,Churned,Price / Budget Cuts
SUB-20231,CUST-10231,Growth,Monthly,375.24,5,2024-02-03,,Active,
SUB-20232,CUST-10232,Starter,Monthly,516.35,16,2024-02-03,,Active,
SUB-20233,CUST-10233,Scale,Monthly,955.19,32,2024-02-04,2025-01-06,Churned,Support / SLA Frustration
SUB-20234,CUST-10234,Growth,Annual,1118.43,73,2024-02-04,2024-09-25,Churned,Internal Restructuring
SUB-20235,CUST-10235,Growth,Monthly,634.74,18,2024-02-04,2024-11-28,Churned,Support / SLA Frustration
SUB-20236,CUST-10236,Scale,Annual,3779.72,38,2024-02-04,2024-04-28,Churned,Support / SLA Frustration
SUB-20237,CUST-10237,Scale,Annual,17666.99,495,2024-02-04,,Active,
SUB-20238,CUST-10238,Growth,Monthly,447.64,24,2024-02-04,,Active,
SUB-20239,CUST-10239,Scale,Monthly,1818.0,50,2024-02-04,,Active,
SUB-20240,CUST-10240,Growth,Annual,715.93,15,2024-02-04,,Active,
SUB-20241,CUST-10241,Growth,Monthly,571.05,14,2024-02-05,,Active,
SUB-20242,CUST-10242,Starter,Monthly,729.28,18,2024-02-05,2024-05-28,Churned,Support / SLA Frustration
SUB-20243,CUST-10243,Growth,Monthly,1752.69,52,2024-02-05,,Active,
SUB-20244,CUST-10244,Scale,Monthly,8362.51,203,2024-02-06,,Active,
SUB-20245,CUST-10245,Growth,Monthly,208.88,20,2024-02-06,,Active,
SUB-20246,CUST-10246,Scale,Annual,3293.12,66,2024-02-06,,Active,
SUB-20247,CUST-10247,Starter,Monthly,559.62,5,2024-02-06,,Active,
SUB-20248,CUST-10248,Growth,Annual,406.84,8,2024-02-06,,Active,
SUB-20249,CUST-10249,Growth,Monthly,406.08,13,2024-02-06,2024-07-16,Churned,Support / SLA Frustration
SUB-20250,CUST-10250,Scale,Annual,3187.98,30,2024-02-06,,Active,
SUB-20251,CUST-10251,Growth,Monthly,3646.56,30,2024-02-06,,Active,
SUB-20252,CUST-10252,Starter,Annual,523.93,12,2024-02-07,,Active,
SUB-20253,CUST-10253,Scale,Annual,1469.6,47,2024-02-07,,Active,
SUB-20254,CUST-10254,Scale,Monthly,1260.19,95,2024-02-07,,Active,
SUB-20255,CUST-10255,Starter,Monthly,450.25,9,2024-02-07,,Active,
SUB-20256,CUST-10256,Growth,Monthly,369.53,16,2024-02-08,,Active,
SUB-20257,CUST-10257,Starter,Monthly,314.69,21,2024-02-08,2024-12-17,Churned,Support / SLA Frustration
SUB-20258,CUST-10258,Starter,Annual,289.16,8,2024-02-08,,Active,
SUB-20259,CUST-10259,Enterprise Plus,Annual,14803.06,196,2024-02-08,,Active,
SUB-20260,CUST-10260,Growth,Monthly,741.34,24,2024-02-08,,Active,
SUB-20261,CUST-10261,Growth,Monthly,363.47,20,2024-02-08,2025-01-18,Churned,Support / SLA Frustration
SUB-20262,CUST-10262,Enterprise Plus,Annual,11761.85,187,2024-02-08,,Active,
SUB-20263,CUST-10263,Starter,Monthly,482.73,16,2024-02-08,,Active,
SUB-20264,CUST-10264,Growth,Monthly,653.13,11,2024-02-08,,Active,
SUB-20265,CUST-10265,Starter,Monthly,295.6,12,2024-02-08,,Active,
SUB-20266,CUST-10266,Starter,Monthly,520.95,12,2024-02-09,,Active,
SUB-20267,CUST-10267,Starter,Monthly,203.7,10,2024-02-09,,Active,
SUB-20268,CUST-10268,Growth,Annual,1605.81,26,2024-02-09,2024-03-28,Churned,Support / SLA Frustration
SUB-20269,CUST-10269,Growth,Monthly,1077.21,57,2024-02-09,2025-01-14,Churned,Leadership Transition
SUB-20270,CUST-10270,Growth,Monthly,312.43,23,2024-02-09,,Active,
SUB-20271,CUST-10271,Starter,Annual,746.26,22,2024-02-09,,Active,
SUB-20272,CUST-10272,Starter,Monthly,542.87,8,2024-02-09,2024-05-15,Churned,Low Adoption & License Waste
SUB-20273,CUST-10273,Starter,Monthly,694.29,5,2024-02-10,2024-10-15,Churned,Competitor Alternative
SUB-20274,CUST-10274,Growth,Annual,421.28,17,2024-02-10,,Active,
SUB-20275,CUST-10275,Starter,Annual,383.72,16,2024-02-10,,Active,
SUB-20276,CUST-10276,Starter,Annual,538.1,15,2024-02-10,,Active,
SUB-20277,CUST-10277,Starter,Monthly,695.0,5,2024-02-10,2024-06-12,Churned,Price / Budget Cuts
SUB-20278,CUST-10278,Starter,Annual,124.06,8,2024-02-10,,Active,
SUB-20279,CUST-10279,Starter,Monthly,297.52,17,2024-02-10,,Active,
SUB-20280,CUST-10280,Starter,Annual,443.98,20,2024-02-11,2024-07-28,Churned,Support / SLA Frustration
SUB-20281,CUST-10281,Scale,Monthly,1881.82,84,2024-02-11,2024-03-22,Churned,Support / SLA Frustration
SUB-20282,CUST-10282,Growth,Monthly,3650.31,26,2024-02-11,,Active,
SUB-20283,CUST-10283,Enterprise Plus,Annual,13973.97,170,2024-02-11,,Active,
SUB-20284,CUST-10284,Growth,Monthly,223.53,5,2024-02-11,,Active,
SUB-20285,CUST-10285,Enterprise Plus,Annual,6404.19,329,2024-02-11,,Active,
SUB-20286,CUST-10286,Scale,Monthly,2041.19,83,2024-02-11,2025-01-24,Churned,Support / SLA Frustration
SUB-20287,CUST-10287,Growth,Monthly,562.91,23,2024-02-11,,Active,
SUB-20288,CUST-10288,Scale,Monthly,1548.94,65,2024-02-11,,Active,
SUB-20289,CUST-10289,Starter,Monthly,748.0,5,2024-02-11,2024-10-17,Churned,Low Adoption & License Waste
SUB-20290,CUST-10290,Scale,Annual,14530.22,154,2024-02-11,,Active,
SUB-20291,CUST-10291,Enterprise Plus,Annual,10673.82,186,2024-02-12,,Active,
SUB-20292,CUST-10292,Growth,Monthly,715.07,16,2024-02-12,,Active,
SUB-20293,CUST-10293,Growth,Annual,3768.31,79,2024-02-12,,Active,
SUB-20294,CUST-10294,Scale,Annual,10064.34,222,2024-02-12,,Active,
SUB-20295,CUST-10295,Starter,Monthly,160.22,10,2024-02-12,,Active,
SUB-20296,CUST-10296,Starter,Annual,440.16,5,2024-02-12,,Active,
SUB-20297,CUST-10297,Growth,Monthly,1800.54,52,2024-02-12,,Active,
SUB-20298,CUST-10298,Starter,Monthly,629.49,8,2024-02-13,,Active,
SUB-20299,CUST-10299,Enterprise Plus,Annual,14255.78,134,2024-02-13,2024-11-29,Churned,Low Adoption & License Waste
