customer_id,license_utilization_rate,feature_adoption_score,weekly_active_days,api_calls_monthly,last_active_days_ago
CUST-10215,0.103,86,5,10155,3
CUST-10216,0.753,74,3,1507,0
CUST-10217,0.741,89,7,71982,7
CUST-10218,0.519,57,4,26994,4
CUST-10219,0.959,38,2,28505,6
CUST-10220,0.707,10,3,228504,4
CUST-10221,0.774,50,4,21794,5
CUST-10222,0.878,66,3,80738,7
CUST-10223,0.867,36,3,7204,6
CUST-10224,0.758,76,5,97257,8
CUST-10225,0.823,80,3,10217,32
CUST-10226,0.377,50,5,3391,18
CUST-10227,0.436,47,2,1679,1
CUST-10228,0.294,45,6,14941,2
CUST-10229,0.542,78,1,9498,5
CUST-10230,0.613,59,3,16729,15
CUST-10231,0.686,55,5,2518,5
CUST-10232,0.709,52,3,3232,1
CUST-10233,0.877,76,5,6019,7
CUST-10234,0.92,62,5,2901,1
CUST-10235,0.672,74,5,9611,5
CUST-10236,0.353,81,5,56645,1
CUST-10237,0.529,75,2,18254,4
CUST-10238,0.837,69,3,2838,3
CUST-10239,0.412,51,2,3242,8
CUST-10240,0.818,77,4,8114,6
CUST-10241,1.0,77,4,86691,14
CUST-10242,0.405,39,5,30965,1
CUST-10243,0.853,73,6,15303,12
CUST-10244,1.0,45,7,1534,3
CUST-10245,0.507,60,7,47500,2
CUST-10246,0.648,86,3,6083,8
CUST-10247,0.756,100,5,2697,2
CUST-10248,0.72,43,7,53150,3
CUST-10249,0.795,53,2,47447,0
CUST-10250,0.817,38,3,27511,1
CUST-10251,0.05,87,2,19820,0
CUST-10252,0.937,98,4,18958,1
CUST-10253,0.643,100,6,63680,8
CUST-10254,0.549,60,4,5318,0
CUST-10255,0.733,88,6,5374,6
CUST-10256,0.488,50,4,41298,4
CUST-10257,0.254,81,3,1916,9
CUST-10258,0.546,84,4,20960,0
CUST-10259,0.646,61,5,10969,6
CUST-10260,0.43,94,4,25032,11
CUST-10261,0.451,100,4,1898,13
CUST-10262,0.944,39,6,63927,10
CUST-10263,0.908,100,6,4482,3
CUST-10264,0.568,32,3,938,3
CUST-10265,0.794,52,1,67421,7
CUST-10266,0.482,57,6,17022,1
CUST-10267,0.955,97,4,48561,3
CUST-10268,0.917,86,4,781,26
CUST-10269,0.846,97,4,42348,3
CUST-10270,1.0,100,3,20108,0
CUST-10271,0.64,46,3,31182,12
CUST-10272,0.302,99,2,11509,1
CUST-10273,0.489,50,3,18117,2
CUST-10274,0.751,100,5,16475,0
CUST-10275,0.591,76,3,30850,4
CUST-10276,0.615,30,5,20790,1
CUST-10277,0.769,48,5,16922,7
CUST-10278,0.938,43,2,57385,7
CUST-10279,1.0,91,3,33995,9
CUST-10280,0.415,98,6,4007,10
CUST-10281,0.418,96,2,17781,4
CUST-10282,0.862,95,4,46351,12
CUST-10283,0.675,57,3,8794,16
CUST-10284,0.588,58,5,55235,2
CUST-10285,0.525,72,2,6391,0
CUST-10286,0.695,76,6,5476,1
CUST-10287,0.534,55,5,2936,11
CUST-10288,0.831,89,4,23578,16
CUST-10289,0.391,69,2,4792,3
CUST-10290,0.806,59,3,13597,12
CUST-10291,0.362,69,3,14453,1
CUST-10292,0.618,73,3,18290,1
CUST-10293,0.542,52,6,1482,12
CUST-10294,0.733,79,4,8327,2
CUST-10295,0.744,68,5,686,2
CUST-10296,0.272,58,7,13460,7
CUST-10297,0.805,58,6,14651,17
CUST-10298,0.422,91,7,13625,8
CUST-10299,0.354,61,4,2592,18
CUST-10300,0.435,67,1,16104,5
CUST-10301,0.805,64,4,3053,17
CUST-10302,0.917,76,5,16477,4
CUST-10303,0.589,81,2,55196,2
CUST-10304,0.362,89,4,10867,3
CUST-10305,1.0,67,5,6754,6
CUST-10306,0.343,61,5,14988,8
CUST-10307,0.802,31,6,46746,40
CUST-10308,0.743,73,5,48538,4
CUST-10309,0.978,79,3,63489,2
CUST-10310,0.544,85,4,21557,9
CUST-10311,0.784,69,4,73493,2
CUST-10312,1.0,55,3,27666,0
CUST-10313,0.983,56,1,49159,4
CUST-10314,0.686,38,4,17690,3
CUST-10315,0.534,78,6,21729,7
CUST-10316,0.905,42,7,53289,2
CUST-10317,0.979,79,6,2477,3
CUST-10318,0.592,85,1,24559,12
CUST-10319,0.05,68,2,14302,2
CUST-10320,0.78,56,5,45132,1
CUST-10321,0.49,60,3,6081,1
CUST-10322,0.778,77,4,4606,0
CUST-10323,0.564,63,7,23348,3
CUST-10324,0.722,64,6,23733,5
CUST-10325,0.245,89,1,30522,5
CUST-10326,1.0,39,6,6238,4
CUST-10327,1.0,84,6,4659,3
CUST-10328,0.916,52,5,23294,2
CUST-10329,1.0,63,4,5523,16
CUST-10330,0.813,52,2,13459,10
CUST-10331,0.307,79,3,27254,1
CUST-10332,0.772,63,4,29955,6
CUST-10333,0.489,83,3,37220,4
CUST-10334,0.982,100,3,100166,1
CUST-10335,0.509,70,5,1785,2
CUST-10336,0.979,66,2,63725,0
CUST-10337,0.458,72,7,1976,0
CUST-10338,0.485,61,7,29892,4
CUST-10339,0.593,48,4,7608,3
CUST-10340,1.0,56,3,20377,13
CUST-10341,0.602,52,5,3585,14
CUST-10342,0.879,67,4,35993,3
CUST-10343,0.923,52,3,13159,0
CUST-10344,0.701,41,4,13627,1
CUST-10345,0.824,79,2,47650,3
CUST-10346,1.0,76,4,33210,6
CUST-10347,0.59,44,5,42605,0
CUST-10348,0.566,50,4,43728,11
CUST-10349,0.918,75,5,72490,3
CUST-10350,0.555,81,5,32015,11
CUST-10351,0.854,91,0,768,0
CUST-10352,0.888,100,3,11042,7
CUST-10353,0.539,54,4,36171,1
CUST-10354,0.526,75,4,2746,0
CUST-10355,1.0,91,3,1550,7
CUST-10356,0.422,84,3,29104,1
CUST-10357,0.626,55,4,124488,3
CUST-10358,0.846,63,3,2533,18
CUST-10359,0.291,70,4,19838,0
CUST-10360,0.888,90,2,28975,5
CUST-10361,0.621,51,6,108923,0
CUST-10362,0.403,90,4,1033,6
CUST-10363,1.0,58,4,6881,3
CUST-10364,0.312,78,6,24293,1
CUST-10365,0.834,48,5,118179,12
CUST-10366,0.949,75,6,26499,0
CUST-10367,0.667,41,3,5461,0
CUST-10368,0.759,38,2,20393,2
CUST-10369,0.949,60,4,16715,8
CUST-10370,0.838,69,4,6734,8
CUST-10371,0.649,45,4,8907,4
CUST-10372,0.698,43,5,16217,7
CUST-10373,0.303,50,4,43636,7
CUST-10374,0.64,39,2,31874,7
CUST-10375,0.763,71,6,21851,5
CUST-10376,0.903,51,6,37088,6
CUST-10377,0.801,75,4,13348,0
CUST-10378,0.747,73,4,16388,14
CUST-10379,0.911,51,5,18825,6
CUST-10380,0.635,78,5,3925,0
CUST-10381,0.829,95,5,20710,10
CUST-10382,1.0,92,5,20031,5
CUST-10383,0.874,51,4,28058,3
CUST-10384,0.975,100,3,12191,2
CUST-10385,0.942,60,6,5372,24
CUST-10386,0.482,67,6,17839,6
CUST-10387,0.886,59,2,4913,2
CUST-10388,0.305,100,4,10061,0
CUST-10389,1.0,52,3,31225,10
CUST-10390,0.893,94,6,23727,0
CUST-10391,0.478,100,5,45851,14
CUST-10392,0.723,81,3,17231,13
CUST-10393,0.758,52,4,6098,3
CUST-10394,0.574,40,2,2889,12
CUST-10395,0.449,87,6,23814,3
CUST-10396,0.452,82,4,11983,3
CUST-10397,0.84,51,5,54227,0
CUST-10398,1.0,47,4,9529,4
CUST-10399,0.535,97,4,3795,0
CUST-10400,0.902,63,4,55404,9
CUST-10401,0.948,52,3,9458,1
CUST-10402,0.975,100,2,39738,3
CUST-10403,0.787,70,4,8791,3
CUST-10404,0.867,75,5,63111,3
CUST-10405,0.568,87,2,7561,2
CUST-10406,0.744,85,4,25172,3
CUST-10407,0.554,91,5,16877,26
CUST-10408,0.501,46,3,14326,0
CUST-10409,0.49,67,3,10654,16
CUST-10410,0.747,53,5,2086,18
CUST-10411,0.582,100,4,75955,3
CUST-10412,0.879,86,7,1470,3
CUST-10413,0.846,65,6,52188,10
CUST-10414,0.395,51,4,85648,7
CUST-10415,0.517,59,7,42190,14
CUST-10416,0.634,76,1,28608,5
CUST-10417,0.457,72,4,14979,0
CUST-10418,0.809,16,4,12420,4
CUST-10419,0.47,55,4,9973,0
CUST-10420,0.899,67,3,50676,10
CUST-10421,0.907,50,0,8200,2
CUST-10422,0.565,51,4,30013,8
CUST-10423,0.894,50,4,13149,5
CUST-10424,0.997,48,4,26226,4
CUST-10425,0.791,61,1,9166,16
CUST-10426,0.822,85,4,32519,4
CUST-10427,0.796,60,3,7997,7
CUST-10428,0.786,64,4,28053,7
CUST-10429,1.0,78,3,32790,36
CUST-10430,0.758,79,4,85916,10
CUST-10431,0.721,60,4,44846,1
CUST-10432,0.257,95,2,48849,8
CUST-10433,0.465,100,4,104718,3
CUST-10434,1.0,100,4,107676,2
CUST-10435,0.819,66,4,14387,6
CUST-10436,0.186,74,6,46148,7
CUST-10437,0.748,70,5,692,2
CUST-10438,0.819,28,4,27407,26
CUST-10439,0.354,67,3,111298,22
CUST-10440,0.927,72,5,10612,5
CUST-10441,0.658,50,6,11354,3
CUST-10442,1.0,89,5,23531,6
CUST-10443,0.721,98,5,4137,13
CUST-10444,0.727,60,2,1539,0
CUST-10445,0.81,79,3,48902,0
CUST-10446,0.835,61,5,13991,0
CUST-10447,0.506,84,2,10776,5
CUST-10448,0.646,39,0,6013,3
CUST-10449,0.781,57,5,8460,0
CUST-10450,0.612,56,3,7059,2
CUST-10451,0.563,60,3,29651,1
CUST-10452,0.971,67,4,26789,5
CUST-10453,0.548,64,3,28279,18
CUST-10454,0.59,77,6,16441,4
CUST-10455,0.527,50,4,48941,11
CUST-10456,1.0,56,2,3486,0
CUST-10457,0.821,63,5,2743,3
CUST-10458,1.0,10,7,28085,3
CUST-10459,0.905,40,6,15053,2
CUST-10460,0.447,52,4,19766,2
CUST-10461,0.518,68,5,55457,5
CUST-10462,0.683,88,3,41500,0
CUST-10463,0.542,95,6,5536,7
CUST-10464,0.487,94,6,19014,5
CUST-10465,0.686,45,4,156712,4
CUST-10466,0.975,48,2,52874,0
CUST-10467,0.833,57,7,10075,10
CUST-10468,0.967,82,5,11067,4
CUST-10469,0.673,94,0,7933,3
CUST-10470,0.59,66,2,27899,4
CUST-10471,0.09,60,6,13678,5
CUST-10472,0.599,42,3,59776,5
CUST-10473,1.0,67,2,36680,6
CUST-10474,0.77,77,2,22658,9
CUST-10475,0.856,32,7,26480,0
CUST-10476,0.91,89,1,40433,4
CUST-10477,0.726,77,6,14854,19
CUST-10478,0.743,98,2,5945,1
CUST-10479,0.899,88,3,4272,9
CUST-10480,0.181,77,4,10050,3
CUST-10481,0.28,82,6,34956,7
CUST-10482,0.586,78,4,32166,6
CUST-10483,0.741,60,2,3916,1
CUST-10484,0.763,84,1,3874,15
CUST-10485,0.552,48,6,2339,2
CUST-10486,0.818,56,4,54754,1
CUST-10487,1.0,100,3,2255,2
CUST-10488,0.276,88,7,11987,0
CUST-10489,0.602,69,2,5301,13
CUST-10490,0.599,88,4,4830,5
CUST-10491,0.979,56,4,9938,0
CUST-10492,0.453,42,2,1263,2
CUST-10493,0.813,60,6,13907,3
CUST-10494,0.671,100,4,1259,2
CUST-10495,0.398,35,6,31250,2
CUST-10496,0.844,52,6,12205,2
CUST-10497,0.497,83,6,9541,3
CUST-10498,0.358,46,2,21217,6
CUST-10499,0.758,45,3,38137,0
CUST-10500,1.0,58,6,4783,1
CUST-10501,1.0,60,4,51336,2
CUST-10502,0.359,57,5,15441,5
CUST-10503,0.891,54,0,11564,3
CUST-10504,0.585,63,5,24120,19
CUST-10505,0.634,47,1,32302,5
CUST-10506,1.0,86,6,28071,18
CUST-10507,0.802,65,5,1409,0
CUST-10508,0.585,65,2,18536,0
CUST-10509,0.804,78,5,12713,14
CUST-10510,0.807,58,1,2703,1
CUST-10511,0.817,73,6,7265,4
CUST-10512,0.68,85,5,13229,2
CUST-10513,0.668,77,1,20934,0
CUST-10514,0.953,80,6,8588,1
CUST-10515,0.766,49,5,2888,0
CUST-10516,0.547,60,4,6250,8
CUST-10517,1.0,71,7,8568,5
CUST-10518,0.499,48,6,6276,1
CUST-10519,0.976,68,4,68554,10
CUST-10520,0.488,63,2,14352,3
CUST-10521,0.98,76,2,54302,15
CUST-10522,0.59,69,5,17825,7
CUST-10523,0.651,91,4,116310,11
CUST-10524,1.0,89,4,76441,8
CUST-10525,0.838,62,4,11410,1
CUST-10526,1.0,43,3,93361,3
CUST-10527,0.679,58,5,28939,6
CUST-10528,0.641,80,2,17148,0
CUST-10529,0.541,50,2,8617,3
CUST-10530,0.992,56,6,28498,2
CUST-10531,0.592,69,7,5736,1
CUST-10532,0.921,88,4,5462,3
CUST-10533,1.0,47,4,16188,8
CUST-10534,1.0,76,6,52260,6
CUST-10535,0.785,56,3,53792,0
CUST-10536,0.777,100,2,73104,11
CUST-10537,0.254,62,6,3328,36
CUST-10538,0.711,44,4,9593,13
CUST-10539,0.319,66,5,2319,6
CUST-10540,0.927,83,1,9769,2
CUST-10541,0.649,78,3,2182,3
CUST-10542,0.781,81,7,53933,12
CUST-10543,0.66,39,3,7940,8
CUST-10544,0.374,52,3,89418,22
CUST-10545,0.462,72,4,9411,11
CUST-10546,0.823,58,2,68749,1
CUST-10547,0.581,35,7,2637,5
CUST-10548,0.617,18,6,81349,6
CUST-10549,0.994,42,2,16712,1
CUST-10550,0.933,60,5,22357,3
CUST-10551,0.915,91,5,33970,0
CUST-10552,0.903,87,4,43597,1
CUST-10553,1.0,94,0,49245,7
CUST-10554,0.324,73,3,3222,3
CUST-10555,0.787,90,3,45935,0
CUST-10556,0.759,94,3,34141,0
CUST-10557,0.702,58,4,19416,6
CUST-10558,0.769,78,5,15809,5
CUST-10559,0.298,100,5,2667,8
CUST-10560,1.0,80,4,19619,0
CUST-10561,0.582,49,5,40052,2
CUST-10562,0.916,66,5,4871,0
CUST-10563,0.839,38,7,60443,2
CUST-10564,0.859,18,3,71605,4
CUST-10565,0.885,69,6,37459,0
CUST-10566,0.725,96,2,34327,0
CUST-10567,0.672,62,4,664,6
CUST-10568,0.545,58,4,17999,2
CUST-10569,0.255,12,4,43742,0
CUST-10570,0.617,78,3,9215,5
CUST-10571,1.0,62,6,16209,0
CUST-10572,1.0,57,6,18677,3
CUST-10573,0.5,76,5,9593,2
CUST-10574,0.953,72,4,23875,7
CUST-10575,0.749,58,2,5690,7
CUST-10576,0.44,94,5,25077,3
CUST-10577,0.785,88,4,21619,0
CUST-10578,0.595,100,3,13999,7
CUST-10579,0.465,83,5,3313,3
CUST-10580,0.689,44,4,13472,6
CUST-10581,0.87,62,3,7011,4
CUST-10582,0.496,34,2,20416,7
CUST-10583,0.555,69,6,48761,9
CUST-10584,0.596,55,2,51338,1
CUST-10585,0.568,67,3,27217,0
CUST-10586,0.59,75,1,35383,9
CUST-10587,0.774,64,5,16691,1
CUST-10588,0.657,88,1,1231,9
CUST-10589,0.467,100,0,7882,9
CUST-10590,0.756,96,4,7067,0
CUST-10591,1.0,83,3,39234,6
CUST-10592,0.891,36,3,26902,0
CUST-10593,0.762,73,3,4712,3
CUST-10594,0.595,37,4,2558,10
CUST-10595,0.657,49,7,50838,1
CUST-10596,0.56,59,5,26880,0
CUST-10597,0.627,68,5,6723,2
CUST-10598,0.364,96,5,6373,3
CUST-10599,0.844,62,4,10600,2
CUST-10600,0.319,81,2,50607,1
CUST-10601,0.768,74,4,5444,12
CUST-10602,0.565,87,3,20829,1
CUST-10603,0.681,55,3,36389,0
CUST-10604,0.515,65,1,1219,3
CUST-10605,0.85,37,5,36758,2
CUST-10606,0.807,98,4,5633,10
CUST-10607,0.937,71,3,17415,6
CUST-10608,0.706,75,2,9380,2
CUST-10609,0.991,64,2,15942,8
CUST-10610,0.05,71,5,2885,24
CUST-10611,0.607,40,4,11436,0
CUST-10612,0.594,48,2,28672,11
CUST-10613,0.734,33,5,3735,0
CUST-10614,0.87,95,2,6299,10
CUST-10615,0.688,79,4,262714,9
CUST-10616,0.514,52,6,80365,10
CUST-10617,0.481,44,5,5307,4
CUST-10618,0.586,51,3,3677,2
CUST-10619,1.0,100,5,6772,8
CUST-10620,0.962,84,4,33849,4
CUST-10621,0.322,72,3,6697,0
CUST-10622,0.524,67,6,7916,20
CUST-10623,0.992,52,6,35186,9
CUST-10624,0.795,49,3,2593,0
CUST-10625,0.883,43,2,3422,6
CUST-10626,0.881,52,4,9167,0
CUST-10627,0.772,54,4,162622,2
CUST-10628,0.488,63,5,44789,23
CUST-10629,0.45,58,5,20344,3
CUST-10630,0.93,37,1,29687,1
CUST-10631,0.707,75,4,33136,3
CUST-10632,0.866,80,6,14746,10
CUST-10633,0.476,74,4,21879,2
CUST-10634,0.299,48,3,11728,0
CUST-10635,0.27,45,4,6424,0
CUST-10636,0.499,68,3,5089,3
CUST-10637,0.339,85,3,40106,29
CUST-10638,1.0,87,4,20780,2
CUST-10639,0.827,51,4,38788,25
CUST-10640,0.54,55,4,16055,0
CUST-10641,0.717,35,7,62269,7
CUST-10642,0.625,50,4,23051,4
CUST-10643,0.764,97,1,37423,0
CUST-10644,0.612,67,1,7683,25
CUST-10645,0.901,30,1,16048,0
CUST-10646,0.343,46,6,5854,5
CUST-10647,0.675,66,4,16497,0
CUST-10648,0.284,76,3,1539,0
CUST-10649,0.643,85,5,4761,3
CUST-10650,0.992,41,5,33444,7
CUST-10651,0.349,29,5,53277,7
CUST-10652,0.78,48,4,23425,1
CUST-10653,1.0,91,2,11848,2
CUST-10654,0.787,42,4,3569,10
CUST-10655,1.0,66,3,8064,16
CUST-10656,0.8,100,5,4492,7
CUST-10657,1.0,100,4,1656,0
CUST-10658,0.468,100,3,25468,0
CUST-10659,0.53,86,0,9709,10
CUST-10660,0.609,100,4,67357,3
CUST-10661,0.798,100,0,2191,14
CUST-10662,0.939,98,5,22184,3
CUST-10663,0.551,49,6,27918,4
CUST-10664,0.63,35,4,32345,0
CUST-10665,0.373,100,5,36307,8
CUST-10666,0.547,65,4,10626,1
CUST-10667,1.0,60,3,15834,3
CUST-10668,0.298,89,4,14279,0
CUST-10669,0.884,100,6,22384,13
CUST-10670,0.814,75,4,10094,6
CUST-10671,0.611,97,4,12630,1
CUST-10672,0.508,56,3,905,7
CUST-10673,0.561,61,4,12051,14
CUST-10674,0.772,68,5,6134,2
CUST-10675,0.71,72,6,2724,2
CUST-10676,0.644,56,3,45892,0
CUST-10677,0.382,46,3,9279,2
CUST-10678,0.49,64,2,6587,2
CUST-10679,0.67,75,3,39748,3
CUST-10680,0.498,99,3,20853,0
CUST-10681,0.45,93,5,49647,0
CUST-10682,0.714,93,1,46748,10
CUST-10683,0.755,35,2,34020,0
CUST-10684,0.663,90,7,26443,1
CUST-10685,0.554,100,6,20703,3
CUST-10686,0.851,52,7,41044,1
CUST-10687,0.509,67,4,50780,4
CUST-10688,0.189,73,4,14410,3
CUST-10689,0.534,52,6,13546,14
CUST-10690,0.39,84,6,8766,1
CUST-10691,0.928,100,2,9170,4
CUST-10692,0.634,79,4,3159,0
CUST-10693,0.815,43,3,46901,8
CUST-10694,0.748,86,1,22373,5
