customer_id,total_tickets,avg_resolution_time_hrs,escalated_tickets_count,csat_score
CUST-10200,4,57.0,2,3.0
CUST-10201,3,22.6,0,4.5
CUST-10202,5,12.1,0,4.8
CUST-10203,2,3.8,0,4.4
CUST-10204,7,8.4,0,4.2
CUST-10205,5,2.4,0,4.8
CUST-10206,3,59.8,1,2.3
CUST-10207,8,22.6,0,4.8
CUST-10208,3,63.4,2,1.2
CUST-10209,6,4.8,0,4.3
CUST-10210,4,67.9,2,1.9
CUST-10211,6,21.7,0,4.1
CUST-10212,5,15.3,0,4.8
CUST-10213,3,10.3,0,4.9
CUST-10214,3,7.0,0,4.1
CUST-10215,2,20.6,0,4.1
CUST-10216,3,3.9,0,5.0
CUST-10217,3,16.0,0,4.2
CUST-10218,4,13.4,0,4.3
CUST-10219,2,14.4,0,4.2
CUST-10220,7,23.4,0,4.4
CUST-10221,4,79.1,3,1.7
CUST-10222,4,14.1,0,4.1
CUST-10223,2,22.5,0,4.7
CUST-10224,4,8.3,0,4.2
CUST-10225,6,4.6,0,4.3
CUST-10226,2,9.6,0,3.9
CUST-10227,0,4.0,0,4.9
CUST-10228,9,74.9,3,2.8
CUST-10229,0,4.0,0,4.7
CUST-10230,2,24.0,0,4.8
CUST-10231,7,5.5,0,4.7
CUST-10232,1,13.2,0,4.0
CUST-10233,3,82.8,1,1.4
CUST-10234,4,2.7,0,4.8
CUST-10235,3,103.1,1,2.3
CUST-10236,4,81.3,1,1.7
CUST-10237,7,14.3,0,3.9
CUST-10238,4,13.1,0,4.8
CUST-10239,4,116.0,3,2.9
CUST-10240,4,77.5,3,1.5
CUST-10241,7,14.8,0,3.9
CUST-10242,7,86.5,2,2.0
CUST-10243,4,4.5,0,4.4
CUST-10244,2,12.6,0,4.5
CUST-10245,6,12.7,0,4.1
CUST-10246,6,5.1,0,4.1
CUST-10247,2,11.3,0,4.5
CUST-10248,2,14.1,0,5.0
CUST-10249,7,93.7,4,1.8
CUST-10250,1,3.6,0,4.5
CUST-10251,2,48.4,0,3.0
CUST-10252,3,6.0,0,4.1
CUST-10253,4,6.6,0,3.9
CUST-10254,1,20.7,0,4.1
CUST-10255,4,13.5,0,4.7
CUST-10256,8,21.0,0,4.6
CUST-10257,2,109.0,0,2.6
CUST-10258,3,5.4,0,4.6
CUST-10259,5,7.8,0,4.2
CUST-10260,4,16.4,0,4.0
CUST-10261,3,109.6,2,2.3
CUST-10262,8,64.0,3,2.8
CUST-10263,3,2.8,0,4.8
CUST-10264,4,23.3,0,4.5
CUST-10265,6,20.0,0,4.5
CUST-10266,1,4.2,0,4.6
CUST-10267,5,16.2,0,4.3
CUST-10268,2,61.7,0,1.8
CUST-10269,6,19.3,0,4.1
CUST-10270,3,22.3,0,4.1
CUST-10271,2,11.9,0,3.9
CUST-10272,2,13.1,0,5.0
CUST-10273,4,13.5,0,4.0
CUST-10274,5,65.2,3,2.3
CUST-10275,3,23.5,0,4.7
CUST-10276,5,18.9,0,4.4
CUST-10277,7,11.2,0,4.2
CUST-10278,4,9.5,0,4.4
CUST-10279,4,75.7,2,1.8
CUST-10280,10,93.8,3,2.5
CUST-10281,5,82.9,1,1.7
CUST-10282,6,11.3,0,4.8
CUST-10283,2,2.2,0,4.9
CUST-10284,4,2.8,0,4.8
CUST-10285,5,19.3,0,4.1
CUST-10286,3,80.8,1,2.3
CUST-10287,5,10.4,0,4.6
CUST-10288,5,4.9,0,4.8
CUST-10289,6,4.2,0,4.7
CUST-10290,5,15.2,0,4.1
CUST-10291,3,8.7,0,3.9
CUST-10292,4,55.4,2,2.5
CUST-10293,3,20.5,0,4.9
CUST-10294,2,22.8,0,3.9
CUST-10295,2,114.9,0,2.9
CUST-10296,5,8.7,0,4.1
CUST-10297,4,11.5,0,4.5
CUST-10298,2,16.2,0,4.5
CUST-10299,1,6.0,0,4.0
CUST-10300,5,6.1,0,4.0
CUST-10301,4,11.9,0,4.0
CUST-10302,3,106.1,1,1.8
CUST-10303,5,84.5,2,2.1
CUST-10304,5,6.4,0,3.8
CUST-10305,4,9.2,0,4.1
CUST-10306,8,10.9,0,4.7
CUST-10307,12,14.1,0,3.9
CUST-10308,4,7.4,0,4.8
CUST-10309,4,116.4,2,1.4
CUST-10310,3,62.6,0,2.4
CUST-10311,3,22.5,0,4.4
CUST-10312,6,14.8,0,5.0
CUST-10313,6,16.5,0,4.1
CUST-10314,7,12.5,0,4.9
CUST-10315,5,6.8,0,3.9
CUST-10316,4,53.1,1,2.5
CUST-10317,3,68.0,0,1.4
CUST-10318,2,57.9,2,1.6
CUST-10319,4,14.4,0,4.3
CUST-10320,6,19.9,0,4.1
CUST-10321,3,5.6,0,4.8
CUST-10322,4,20.3,0,4.0
CUST-10323,1,95.4,0,1.3
CUST-10324,4,9.9,0,4.6
CUST-10325,6,14.6,0,4.5
CUST-10326,6,21.2,0,5.0
CUST-10327,3,14.6,0,4.8
CUST-10328,1,2.3,0,4.7
CUST-10329,5,113.6,2,1.9
CUST-10330,4,17.8,0,4.2
CUST-10331,2,21.3,0,4.2
CUST-10332,2,3.5,0,4.4
CUST-10333,3,6.1,0,3.9
CUST-10334,3,12.7,0,4.7
CUST-10335,4,11.8,0,4.8
CUST-10336,6,9.2,0,4.7
CUST-10337,3,14.6,0,4.9
CUST-10338,4,76.9,2,1.5
CUST-10339,4,8.7,0,4.0
CUST-10340,7,14.9,0,4.9
CUST-10341,5,85.5,1,2.8
CUST-10342,4,13.2,0,4.0
CUST-10343,2,18.7,0,4.9
CUST-10344,5,19.3,0,3.9
CUST-10345,3,19.9,0,4.5
CUST-10346,5,50.0,1,1.7
CUST-10347,3,93.8,0,3.1
CUST-10348,2,99.1,0,1.5
CUST-10349,5,14.9,0,4.5
CUST-10350,6,13.0,0,3.9
CUST-10351,6,16.9,0,3.9
CUST-10352,4,21.3,0,4.4
CUST-10353,7,9.2,0,4.4
CUST-10354,5,9.0,0,4.4
CUST-10355,3,8.8,0,4.1
CUST-10356,8,8.0,0,4.0
CUST-10357,3,7.6,0,4.1
CUST-10358,4,96.4,2,1.9
CUST-10359,4,10.5,0,5.0
CUST-10360,8,118.9,2,1.3
CUST-10361,4,18.9,0,3.9
CUST-10362,2,22.1,0,4.5
CUST-10363,4,59.6,2,1.9
CUST-10364,2,13.4,0,4.9
CUST-10365,2,4.5,0,4.6
CUST-10366,4,5.6,0,4.4
CUST-10367,2,2.5,0,4.0
CUST-10368,4,15.7,0,4.0
CUST-10369,5,13.7,0,4.9
CUST-10370,3,13.9,0,4.8
CUST-10371,2,18.1,0,4.7
CUST-10372,0,4.0,0,4.7
CUST-10373,1,17.5,0,4.5
CUST-10374,3,62.5,1,2.2
CUST-10375,4,8.6,0,4.5
CUST-10376,3,11.0,0,4.0
CUST-10377,7,17.7,0,4.3
CUST-10378,3,10.3,0,4.2
CUST-10379,6,17.9,0,3.9
CUST-10380,5,22.3,0,4.2
CUST-10381,4,48.1,1,2.3
CUST-10382,3,20.9,0,4.6
CUST-10383,10,13.4,0,4.1
CUST-10384,3,4.3,0,3.8
CUST-10385,3,18.7,0,4.8
CUST-10386,7,19.3,0,4.7
CUST-10387,3,19.8,0,4.1
CUST-10388,4,16.7,0,4.8
CUST-10389,5,8.0,0,5.0
CUST-10390,1,7.0,0,4.7
CUST-10391,3,10.8,0,4.0
CUST-10392,3,119.1,3,2.3
CUST-10393,2,18.2,0,4.4
CUST-10394,4,10.5,0,4.2
CUST-10395,5,11.4,0,4.9
CUST-10396,4,13.5,0,4.2
CUST-10397,4,5.9,0,4.5
CUST-10398,3,14.9,0,3.8
CUST-10399,6,7.5,0,4.1
CUST-10400,7,102.7,4,1.8
CUST-10401,3,10.6,0,4.8
CUST-10402,4,20.4,0,3.9
CUST-10403,4,18.4,0,4.2
CUST-10404,5,7.1,0,4.6
CUST-10405,5,18.1,0,4.3
CUST-10406,9,20.8,0,4.2
CUST-10407,5,80.1,3,1.8
CUST-10408,2,15.4,0,4.1
CUST-10409,6,18.8,0,4.0
CUST-10410,1,14.1,0,4.1
CUST-10411,5,70.4,2,2.2
CUST-10412,5,109.7,2,1.4
CUST-10413,3,12.9,0,4.2
CUST-10414,4,5.7,0,4.7
CUST-10415,3,16.2,0,4.4
CUST-10416,1,11.7,0,4.2
CUST-10417,5,10.1,0,4.1
CUST-10418,3,18.0,0,4.6
CUST-10419,4,100.3,2,2.7
CUST-10420,6,51.8,3,2.6
CUST-10421,3,107.5,3,2.0
CUST-10422,1,48.6,0,2.6
CUST-10423,7,16.6,0,4.0
CUST-10424,5,9.2,0,4.9
CUST-10425,5,92.4,4,2.2
CUST-10426,2,8.6,0,4.6
CUST-10427,5,9.2,0,4.3
CUST-10428,3,89.7,1,1.4
CUST-10429,2,7.4,0,4.0
CUST-10430,3,5.2,0,4.2
CUST-10431,1,88.9,1,2.3
CUST-10432,3,10.0,0,4.7
CUST-10433,2,72.8,2,2.6
CUST-10434,6,6.1,0,4.1
CUST-10435,4,8.0,0,4.4
CUST-10436,7,106.4,1,2.6
CUST-10437,5,2.8,0,4.7
CUST-10438,2,70.5,1,1.7
CUST-10439,4,19.8,0,4.6
CUST-10440,7,5.0,0,4.4
CUST-10441,2,68.4,0,1.2
CUST-10442,1,82.4,0,2.8
CUST-10443,7,2.2,0,4.1
CUST-10444,6,15.0,0,4.1
CUST-10445,2,16.9,0,5.0
CUST-10446,6,23.7,0,4.8
CUST-10447,12,18.3,0,3.8
CUST-10448,6,13.4,0,4.2
CUST-10449,6,22.5,0,4.3
CUST-10450,3,22.6,0,4.8
CUST-10451,7,8.9,0,4.5
CUST-10452,6,3.1,0,4.0
CUST-10453,3,11.8,0,4.2
CUST-10454,2,16.3,0,4.1
CUST-10455,2,5.4,0,4.1
CUST-10456,4,13.7,0,5.0
CUST-10457,3,20.6,0,4.3
CUST-10458,1,15.4,0,4.3
CUST-10459,5,14.2,0,5.0
CUST-10460,4,55.0,1,2.2
CUST-10461,4,21.2,0,4.8
CUST-10462,2,13.5,0,4.8
CUST-10463,3,8.6,0,4.0
CUST-10464,3,11.3,0,3.8
CUST-10465,1,2.5,0,5.0
CUST-10466,5,71.2,2,1.9
CUST-10467,2,21.7,0,4.0
CUST-10468,4,23.9,0,3.9
CUST-10469,4,9.4,0,4.7
CUST-10470,5,19.7,0,4.8
CUST-10471,8,100.7,7,1.3
CUST-10472,3,85.8,1,2.9
CUST-10473,2,16.4,0,4.1
CUST-10474,3,8.4,0,4.0
CUST-10475,7,85.7,3,2.0
CUST-10476,3,13.0,0,4.8
CUST-10477,3,23.7,0,4.6
CUST-10478,7,20.7,0,4.8
CUST-10479,4,56.7,0,2.4
CUST-10480,5,17.6,0,4.0
CUST-10481,2,6.8,0,4.3
CUST-10482,6,4.8,0,4.0
CUST-10483,4,15.3,0,4.4
CUST-10484,6,5.4,0,4.2
CUST-10485,2,9.0,0,4.4
CUST-10486,5,10.8,0,3.9
CUST-10487,3,67.1,2,2.4
CUST-10488,2,3.4,0,4.2
CUST-10489,1,14.7,0,4.9
CUST-10490,3,12.4,0,4.1
CUST-10491,5,18.7,0,3.9
CUST-10492,7,17.5,0,3.9
CUST-10493,5,3.9,0,4.2
CUST-10494,2,15.9,0,4.9
CUST-10495,2,7.2,0,4.6
CUST-10496,4,50.2,2,1.6
CUST-10497,4,64.9,0,2.2
CUST-10498,3,7.2,0,4.0
CUST-10499,6,54.3,2,2.7
CUST-10500,2,4.6,0,4.7
CUST-10501,3,21.3,0,3.9
CUST-10502,2,7.0,0,4.0
CUST-10503,6,103.5,2,2.0
CUST-10504,3,8.7,0,4.8
CUST-10505,3,73.2,2,2.9
CUST-10506,3,17.3,0,5.0
CUST-10507,6,72.8,3,2.9
CUST-10508,1,16.3,0,3.8
CUST-10509,6,14.7,0,3.9
CUST-10510,2,111.1,0,2.6
CUST-10511,6,13.4,0,4.4
CUST-10512,5,117.1,2,2.8
CUST-10513,3,22.3,0,4.2
CUST-10514,8,71.4,1,1.4
CUST-10515,4,8.1,0,4.7
CUST-10516,7,97.3,5,1.7
CUST-10517,5,23.8,0,4.7
CUST-10518,4,14.1,0,3.9
CUST-10519,3,5.6,0,4.1
CUST-10520,4,19.7,0,4.0
CUST-10521,3,5.6,0,4.3
CUST-10522,5,8.9,0,4.1
CUST-10523,4,91.4,3,3.1
CUST-10524,3,114.5,2,3.1
CUST-10525,5,10.8,0,4.9
CUST-10526,5,19.1,0,4.8
CUST-10527,5,12.7,0,4.3
CUST-10528,5,22.5,0,4.2
CUST-10529,4,17.2,0,3.9
CUST-10530,7,8.9,0,4.7
CUST-10531,4,4.9,0,4.6
CUST-10532,3,12.9,0,4.9
CUST-10533,2,67.3,0,3.1
CUST-10534,3,101.0,1,3.1
CUST-10535,8,90.5,5,1.2
CUST-10536,7,77.4,5,3.0
CUST-10537,5,21.5,0,4.7
CUST-10538,7,10.6,0,4.8
CUST-10539,2,62.6,1,2.9
CUST-10540,3,7.3,0,3.9
CUST-10541,4,18.4,0,4.1
CUST-10542,7,102.3,5,1.9
CUST-10543,6,12.2,0,3.9
CUST-10544,2,23.2,0,4.5
CUST-10545,10,111.7,3,1.3
CUST-10546,6,10.6,0,4.3
CUST-10547,6,8.3,0,3.9
CUST-10548,5,110.9,3,1.8
CUST-10549,2,113.0,1,2.9
CUST-10550,4,3.1,0,4.2
CUST-10551,2,7.6,0,4.1
CUST-10552,2,15.1,0,4.9
CUST-10553,8,4.0,0,4.7
CUST-10554,2,6.2,0,4.3
CUST-10555,5,85.7,3,2.7
CUST-10556,0,4.0,0,4.4
CUST-10557,4,16.8,0,4.1
CUST-10558,3,9.7,0,4.7
CUST-10559,9,105.4,6,2.7
CUST-10560,2,16.7,0,4.7
CUST-10561,1,8.9,0,4.6
CUST-10562,1,5.3,0,4.7
CUST-10563,2,109.2,1,2.2
CUST-10564,3,21.9,0,4.7
CUST-10565,5,13.8,0,4.4
CUST-10566,5,20.0,0,5.0
CUST-10567,6,9.9,0,4.1
CUST-10568,6,23.1,0,4.1
CUST-10569,6,20.4,0,4.6
CUST-10570,6,2.3,0,4.9
CUST-10571,4,3.5,0,4.1
CUST-10572,2,13.3,0,5.0
CUST-10573,5,61.3,3,2.8
CUST-10574,4,18.2,0,3.9
CUST-10575,2,15.8,0,4.3
CUST-10576,5,18.0,0,4.3
CUST-10577,4,3.4,0,3.9
CUST-10578,4,10.0,0,4.8
CUST-10579,4,15.4,0,4.8
CUST-10580,6,11.5,0,4.4
CUST-10581,2,4.6,0,4.2
CUST-10582,8,5.1,0,4.5
CUST-10583,1,17.7,0,4.1
CUST-10584,2,2.5,0,4.1
CUST-10585,4,7.1,0,4.5
CUST-10586,5,16.4,0,4.2
CUST-10587,9,7.7,0,4.1
CUST-10588,2,7.8,0,4.2
CUST-10589,6,10.8,0,4.8
CUST-10590,3,77.0,2,1.4
CUST-10591,6,23.8,0,4.3
CUST-10592,1,57.0,1,2.5
CUST-10593,4,6.1,0,4.6
CUST-10594,7,23.0,0,4.7
CUST-10595,2,16.7,0,4.5
CUST-10596,2,59.3,2,1.2
CUST-10597,4,16.1,0,3.9
CUST-10598,3,106.5,1,2.3
CUST-10599,3,95.3,1,1.3
CUST-10600,4,5.8,0,4.8
CUST-10601,3,15.2,0,4.1
CUST-10602,5,23.1,0,4.8
CUST-10603,4,18.0,0,4.7
CUST-10604,6,19.6,0,4.0
CUST-10605,4,49.8,0,1.5
CUST-10606,5,18.8,0,4.4
CUST-10607,4,92.8,3,1.9
CUST-10608,8,20.9,0,3.8
CUST-10609,3,9.3,0,4.1
CUST-10610,5,13.1,0,3.9
CUST-10611,3,11.7,0,4.3
CUST-10612,2,11.9,0,4.3
CUST-10613,5,16.5,0,4.1
CUST-10614,2,20.3,0,4.4
CUST-10615,5,82.8,2,2.0
CUST-10616,4,66.6,3,2.6
CUST-10617,2,7.0,0,3.9
CUST-10618,3,12.6,0,4.7
CUST-10619,3,10.7,0,4.3
CUST-10620,2,8.8,0,4.6
CUST-10621,5,7.5,0,4.4
CUST-10622,3,10.8,0,4.6
CUST-10623,1,13.1,0,4.4
CUST-10624,2,17.9,0,4.9
CUST-10625,7,5.2,0,4.6
CUST-10626,4,20.8,0,4.0
CUST-10627,4,18.4,0,3.9
CUST-10628,5,112.7,4,3.1
CUST-10629,3,58.1,3,2.1
CUST-10630,1,68.9,1,2.7
CUST-10631,2,4.3,0,4.4
CUST-10632,5,12.9,0,4.8
CUST-10633,5,88.3,4,1.3
CUST-10634,4,65.8,3,1.5
CUST-10635,4,11.8,0,4.0
CUST-10636,8,4.2,0,4.1
CUST-10637,2,11.9,0,4.2
CUST-10638,6,18.6,0,4.6
CUST-10639,5,3.6,0,4.0
CUST-10640,4,103.8,2,2.7
CUST-10641,5,101.6,0,3.2
CUST-10642,4,86.6,0,2.8
CUST-10643,3,114.7,1,1.7
CUST-10644,6,102.0,1,2.1
CUST-10645,3,8.1,0,3.8
CUST-10646,5,7.1,0,4.4
CUST-10647,5,6.7,0,4.8
CUST-10648,5,5.5,0,3.9
CUST-10649,4,3.8,0,4.6
CUST-10650,3,77.7,1,2.0
CUST-10651,3,12.2,0,4.7
CUST-10652,2,21.1,0,4.1
CUST-10653,4,20.0,0,4.4
CUST-10654,4,20.9,0,4.1
CUST-10655,1,20.3,0,3.9
CUST-10656,9,15.0,0,4.2
CUST-10657,5,71.0,2,1.4
CUST-10658,5,115.0,2,2.9
CUST-10659,4,22.7,0,4.6
CUST-10660,2,3.3,0,4.0
CUST-10661,5,18.6,0,3.8
CUST-10662,4,5.2,0,3.9
CUST-10663,5,82.9,2,1.7
CUST-10664,4,10.2,0,4.2
CUST-10665,2,114.1,0,1.5
CUST-10666,2,109.6,2,1.7
CUST-10667,3,11.4,0,3.9
CUST-10668,6,13.6,0,4.7
CUST-10669,3,9.0,0,5.0
CUST-10670,3,50.7,0,2.4
CUST-10671,6,23.7,0,4.2
CUST-10672,3,9.8,0,4.1
CUST-10673,6,19.3,0,5.0
CUST-10674,9,112.0,4,1.3
CUST-10675,7,15.9,0,4.1
CUST-10676,3,21.0,0,4.5
CUST-10677,4,8.3,0,4.8
CUST-10678,5,16.6,0,4.2
CUST-10679,2,7.2,0,4.8
CUST-10680,8,22.4,0,4.8
CUST-10681,4,18.0,0,4.7
CUST-10682,1,22.6,0,4.3
CUST-10683,4,16.3,0,4.1
CUST-10684,3,17.4,0,4.8
CUST-10685,1,58.2,0,1.6
CUST-10686,2,52.6,2,2.2
CUST-10687,1,2.0,0,4.7
CUST-10688,7,96.6,3,2.9
CUST-10689,5,79.4,2,2.6
CUST-10690,2,89.6,0,2.5
CUST-10691,7,56.3,3,1.2
CUST-10692,3,19.5,0,4.9
CUST-10693,5,3.0,0,4.0
CUST-10694,2,6.3,0,4.3
CUST-10695,6,65.3,2,2.3
CUST-10696,1,5.9,0,4.2
CUST-10697,1,5.7,0,4.7
CUST-10698,6,18.9,0,4.0
CUST-10699,2,11.3,0,4.5
CUST-10700,4,19.7,0,4.1
CUST-10701,3,18.8,0,4.8
CUST-10702,4,11.9,0,4.9
CUST-10703,4,14.5,0,4.5
CUST-10704,5,9.3,0,4.2
CUST-10705,6,5.5,0,4.3
CUST-10706,4,11.7,0,4.2
CUST-10707,5,21.7,0,4.8
CUST-10708,7,23.5,0,5.0
CUST-10709,2,5.7,0,4.5
CUST-10710,6,56.5,1,2.0
CUST-10711,5,73.2,1,1.3
CUST-10712,1,12.9,0,5.0
CUST-10713,5,15.0,0,4.4
CUST-10714,7,23.5,0,4.3
CUST-10715,6,4.7,0,4.2
CUST-10716,5,55.0,2,1.4
CUST-10717,5,15.4,0,3.9
CUST-10718,4,14.1,0,4.4
CUST-10719,1,17.3,0,3.8
CUST-10720,3,14.3,0,4.2
CUST-10721,1,17.5,0,4.9
CUST-10722,2,111.7,1,3.1
CUST-10723,6,79.6,4,3.1
CUST-10724,6,19.0,0,4.6
CUST-10725,5,13.9,0,3.9
CUST-10726,6,16.9,0,4.2
CUST-10727,2,97.4,0,2.3
CUST-10728,3,5.1,0,4.7
CUST-10729,2,6.3,0,4.3
CUST-10730,3,6.3,0,4.5
CUST-10731,5,23.7,0,4.7
